District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,4,ELA,250,250,100,250,38,15.2,48,19.2,73,29.2,91,36.4,164,65.6,2502
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,4,Math,250,250,100,250,18,7.2,65,26,96,38.4,71,28.4,167,66.8,2510
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,5,ELA,267,266,99.6,266,31,11.7,38,14.3,105,39.5,92,34.6,197,74.1,2545
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,5,Math,267,266,99.6,266,42,15.8,74,27.8,73,27.4,77,28.9,150,56.4,2534
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,5,ELA,146,146,100,146,47,32.2,40,27.4,45,30.8,14,9.6,59,40.4,2474
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,5,Math,146,146,100,146,60,41.1,50,34.2,24,16.4,12,8.2,36,24.7,2475
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,6,ELA,104,102,98.1,101,28,27.7,48,47.5,17,16.8,8,7.9,25,24.8,2495
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,6,Math,104,102,98.1,102,30,29.4,38,37.3,18,17.6,16,15.7,34,33.3,2514
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7,ELA,112,112,100,112,24,21.4,36,32.1,46,41.1,6,5.4,52,46.4,2536
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7,Math,111,111,100,111,30,27,48,43.2,24,21.6,9,8.1,33,29.7,2521
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,8,ELA,111,111,100,111,33,29.7,30,27,37,33.3,11,9.9,48,43.2,2549
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,8,Math,111,111,100,111,46,41.4,29,26.1,29,26.1,7,6.3,36,32.4,2522
Bloomfield School District,0110011,Global Experience Magnet School,0116311,6,ELA,30,30,100,30,10,33.3,*,*,10,33.3,*,*,*,*,2496
Bloomfield School District,0110011,Global Experience Magnet School,0116311,6,Math,30,30,100,30,20,66.7,*,*,*,*,0,0,*,*,2447
Bloomfield School District,0110011,Global Experience Magnet School,0116311,7,ELA,33,33,100,33,*,*,9,27.3,11,33.3,*,*,*,*,2541
Bloomfield School District,0110011,Global Experience Magnet School,0116311,7,Math,33,33,100,33,14,42.4,11,33.3,*,*,*,*,8,24.2,2510
Bloomfield School District,0110011,Global Experience Magnet School,0116311,8,ELA,27,27,100,27,11,40.7,*,*,10,37,*,*,*,*,2527
Bloomfield School District,0110011,Global Experience Magnet School,0116311,8,Math,27,27,100,27,17,63,*,*,*,*,0,0,*,*,2472
Bloomfield School District,0110011,Metacomet School,0110511,3,ELA,122,122,100,122,31,25.4,26,21.3,34,27.9,31,25.4,65,53.3,2429
Bloomfield School District,0110011,Metacomet School,0110511,3,Math,122,122,100,122,28,23,42,34.4,36,29.5,16,13.1,52,42.6,2427
Bloomfield School District,0110011,Metacomet School,0110511,4,ELA,106,106,100,106,56,52.8,17,16,20,18.9,13,12.3,33,31.1,2420
Bloomfield School District,0110011,Metacomet School,0110511,4,Math,106,105,99.1,105,34,32.4,48,45.7,*,*,*,*,23,21.9,2442
Bolton School District,0120011,Bolton Center School,0120111,3,ELA,60,58,96.7,58,9,15.5,10,17.2,16,27.6,23,39.7,39,67.2,2456
Bolton School District,0120011,Bolton Center School,0120111,3,Math,60,58,96.7,58,7,12.1,10,17.2,21,36.2,20,34.5,41,70.7,2467
Bolton School District,0120011,Bolton Center School,0120111,4,ELA,58,57,98.3,57,8,14,12,21.1,17,29.8,20,35.1,37,64.9,2499
Bolton School District,0120011,Bolton Center School,0120111,4,Math,58,57,98.3,57,*,*,*,*,22,38.6,17,29.8,39,68.4,2514
Bolton School District,0120011,Bolton Center School,0120111,5,ELA,61,56,91.8,56,*,*,*,*,18,32.1,25,44.6,43,76.8,2561
Bolton School District,0120011,Bolton Center School,0120111,5,Math,61,56,91.8,56,*,*,*,*,11,19.6,31,55.4,42,75,2570
Bolton School District,0120011,Bolton Center School,0120111,6,ELA,62,62,100,62,*,*,*,*,21,33.9,25,40.3,46,74.2,2591
Bolton School District,0120011,Bolton Center School,0120111,6,Math,62,62,100,62,6,9.7,12,19.4,19,30.6,25,40.3,44,71,2587
Bolton School District,0120011,Bolton Center School,0120111,7,ELA,68,66,97.1,66,6,9.1,8,12.1,27,40.9,25,37.9,52,78.8,2613
Bolton School District,0120011,Bolton Center School,0120111,7,Math,68,66,97.1,66,8,12.1,15,22.7,17,25.8,26,39.4,43,65.2,2599
Bolton School District,0120011,Bolton Center School,0120111,8,ELA,65,62,95.4,62,*,*,*,*,27,43.5,21,33.9,48,77.4,2629
Bolton School District,0120011,Bolton Center School,0120111,8,Math,65,62,95.4,62,*,*,16,25.8,*,*,27,43.5,*,*,2626
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,3,ELA,43,43,100,43,*,*,*,*,11,25.6,16,37.2,27,62.8,2458
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,3,Math,43,43,100,43,*,*,13,30.2,14,32.6,*,*,*,*,2461
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,4,ELA,29,29,100,29,*,*,*,*,10,34.5,9,31,19,65.5,2493
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,4,Math,29,29,100,29,0,0,13,44.8,*,*,*,*,16,55.2,2495
Bozrah School District,0130011,Fields Memorial School,0130111,3,ELA,20,20,100,20,*,*,*,*,*,*,*,*,*,*,2439
Bozrah School District,0130011,Fields Memorial School,0130111,3,Math,20,20,100,20,*,*,*,*,6,30,*,*,*,*,2435
Bozrah School District,0130011,Fields Memorial School,0130111,4,ELA,17,17,*,17,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,Fields Memorial School,0130111,4,Math,17,17,*,17,*,*,*,*,*,*,*,*,*,*,*
Bozrah School District,0130011,Fields Memorial School,0130111,5,ELA,26,25,96.2,25,*,*,9,36,7,28,*,*,*,*,2507
Bozrah School District,0130011,Fields Memorial School,0130111,5,Math,26,25,96.2,25,8,32,12,48,*,*,*,*,*,*,2492
